first_name,middle_name,last_name,suffix,credential,prefix,name,t_CorporationNameBranchType,t_ProxyFor,t_OtherSurname,t_OtherCorporationName,t_SecondMiddleName,t_And,t_SecondNickname,t_CorporationName,t_SecondPrefixMarital,t_PrefixMarital,t_Surname,t_CorporationNameAndCompany,t_SecondMiddleInitial,t_CorporationNameOrganization,t_MiddleInitial,t_SecondGivenName,t_CorporationLegalType,t_SecondShortForm,t_CorporationCommitteeType,t_Nickname,t_SecondCorporationName,t_FirstInitial,t_MiddleName,t_SecondSuffixOther,t_ShortForm,t_OtherCorporationNameOrganizati,t_SecondFirstInitial,t_SecondCorporationNameAndCompan,t_SecondCorporationCommitteeType,t_SecondCorporationNameBranchIde,t_SuffixOther,t_SuffixGenerational,t_GivenName,t_LastInitial,t_OtherSuffixOther,t_CorporationNameBranchIdentifie,t_OtherCorporationCommitteeType,t_SecondCorporationNameOrganizat,t_SecondCorporationNameBranchTyp,t_SecondSurname,t_PrefixOther,t_SecondSuffixGenerational,t_SecondPrefixOther,t_AKA,tag_type,error_found_second_entity,error_surname,error_tag_type,error_any
MIGUEL,DE JESUS,PEREZ MARTINEZ,,,Mr.,Mr MIGUEL DE JESUS PEREZ MARTINEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
LESLIE,,PRATT,,,Ms.,Ms LESLIE PRATT,,,,,,,,Ms LESLIE,,,,,,PRATT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
CONSTANTINE,,DELIS,,M.D.,,CONSTANTINE DELIS MD,,,,,,,,CONSTANTINE,,,,,,DELIS,,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,,,Corporation,False,True,True,True
PARISHURAMA,SANKEPALLY,REDDY,,,Dr.,Dr PARISHURAMA SANKEPALLY REDDY,,,,,,,,Dr PARISHURAMA SANKEPALLY,,,,,,REDDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
AMER,H,KHAN,,,Mr.,Mr AMER H KHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
VEITLA,SANKEERTHA,RAO,,,,VEITLA SANKEERTHA RAO,,,,,,,,VEITLA SANKEERTHA,,,,,,RAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
MARTIN,,CADEIRAS,,,Mr.,Mr MARTIN CADEIRAS,,,,,,,,Mr MARTIN CADEIRAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
ASHFAQ,,ULLAH,,,Dr. & Mrs.,Dr & Mrs ASHFAQ ULLAH,,,,,,&,,,,Mrs,ASHFAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ULLAH,Dr,,,,Household,True,True,False,True
ALHAMBRA,,FRAREY,,,Mrs.,Mrs. ALHAMBRA FRAREY,,,,,,,,,,Mrs.,ALHAMBRA FRAREY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person,False,True,False,True
DIPTI,,GUPTA,,,Ms.,Ms DIPTI GUPTA,,,,,,,,Ms DIPTI GUPTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
