wikidata_id,name,instance_of,country
Q865655,Cathedral of Saint John the Divine,cathedral,United States of America
Q489984,Mission San Xavier del Bac,mission,United States of America
Q1824509,Spanish missions in California,church,United States of America
Q617891,Mission San Diego de Alcalá,Spanish missions in California,United States of America
Q2689743,Mission San Carlos Borromeo de Carmelo,mission,United States of America
Q6878709,Mission San Antonio de Padua,,United States of America
Q1939046,Mission San Gabriel Arcángel,mission,United States of America
Q3304442,Mission San Luis Obispo de Tolosa,museum,United States of America
Q1000321,Mission San Francisco de Asís,church,United States of America
Q1939057,Mission San Juan Capistrano,mission,United States of America
Q195381,Mission Santa Clara de Asís,church,United States of America
Q12061890,Mission San Buenaventura,museum,United States of America
Q1413807,Mission Santa Barbara,mission,United States of America
Q6464680,La Purisima Mission,mission,United States of America
Q12061892,Mission Santa Cruz,historic district in the United States,United States of America
Q6878658,Mission Nuestra Señora de la Soledad,museum,United States of America
Q6878722,Mission San José,museum,United States of America
Q6878725,Mission San Juan Bautista,museum,United States of America
Q12061891,Mission San Miguel Arcángel,museum,United States of America
Q6878715,Mission San Fernando Rey de España,church,United States of America
Q6878751,Mission San Luis Rey de Francia,mission,United States of America
Q6878745,Mission Santa Inés,mission,United States of America
Q728990,Mission San Rafael Arcángel,museum,United States of America
Q13560270,Mission San Francisco Solano,mission,United States of America
Q5444431,Fermín Lasuén,human,
Q522107,Junípero Serra,human,
Q24251468,Chumash people,ethnic group,
Q1479279,Tongva people,ethnic group,United States of America
Q755407,Church Creek,town of the United States,United States of America
Q2636724,Alamo Mission in San Antonio,mission,United States of America
Q2748811,Hubert Howe Bancroft,human,
Q367770,Fred Phelps,human,
Q7793575,Thomas Road Baptist Church,church,United States of America
Q668710,Washington National Cathedral,cathedral,United States of America
Q7698720,Temple of Deliverance Church of God in Christ,church,United States of America
Q5052317,Cathedral of Hope,church,United States of America
Q866896,Trinity Church,church,United States of America
Q624556,St. Patrick's Cathedral,cathedral,United States of America
Q954398,Fulton J. Sheen,human,
